reaction_id,reactants,products,rate_constant,reaction_family,reaction_phase,publication_string,publication_doi,underlying_data_publication_string,underlying_data_publication_doi,Notes
R141,ETE+NO3,0.80000*OLNN+0.20000*OLND,4.3920E-13*exp(-2.2820E+03/T)*(T/300)^(2.0000E+00),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R142,OLT+NO3,0.43000*OLNN+0.57000*OLND,1.7900E-13*exp(-4.5000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R143,OLI+NO3,0.11000*OLNN+0.89000*OLND,8.6400E-13*exp(4.5000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R146,API+NO3,0.97500*APINP1+0.02500*APINP2,1.1900E-12*exp(4.9000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R147,LIM+NO3,0.94500*LIMNP1+0.05500*LIMNP2,1.2200E-11,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
TRP10,VTRPN+NO3,0.33000*VHONIT+0.67000*NO2+0.27000*PINAL+0.38000*KET+0.21000*HCHO+0.02000*ALD,3.1500E-13*exp(-4.4800E+02/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Fisher et al. 2016,https://doi.org/10.5194/acp-16-5969-2016,"Oxidation of TRPN assumes 1/3 is unsaturated and retains the nitrate group upon oxidation to from HONIT while the remaining 2/3 is saturated and releases the nitrate group to form NO2 and other products. The 1/3 to 2/3 split is based on Fisher et al. (2016). The coefficients of other products are based on products from alpha-pinene and beta-pinene derived nitrates in MCM with a 65/35 weighting as described in Note 1 above. From MCM products, we find a 62% yield of PINAL and a 38% yield of a ketone (KET) for alpha-pinene and a 92% yield of a ketone (KET) + HCHO and an 8% yield of an aldehyde (ALD) for beta-pinene. CRACMM3 update: VTRPN name updated."
R148,HCHO+NO3,HO2+CO+HNO3,2.0000E-12*exp(-2.4400E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R149,ACD+NO3,ACO3+HNO3,1.4000E-12*exp(-1.9000E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R150,ALD+NO3,RCO3+HNO3,3.7600E-12*exp(-1.9000E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R151,MACR+NO3,0.68000*HCHO+0.32000*MACP+0.68000*XO2+0.68000*MGLY+0.32000*HNO3+0.68000*NO2,3.4000E-15,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R152,UALD+NO3,HO2+XO2+0.66800*CO+0.33200*HCHO+0.33200*ALD+ONIT,5.0200E-13*exp(-1.0760E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R153,GLY+NO3,HO2+2.00000*CO+HNO3,2.9000E-12*exp(-1.9000E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R154,MGLY+NO3,ACO3+CO+HNO3,3.7600E-12*exp(-1.9000E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
RBAL1,BALD+NO3,BALP+HNO3,2.4000E-15,CRACMM3,gas,NA,NA,Jenkin et al. 2003,https://doi.org/10.5194/acp-3-181-2003,Added nitrate radical loss of benzaldehyde following MCM for completeness.
